text,label
"The food was amazing and service was great!",positive
"Terrible experience. The waiter was rude.",negative
"Pretty decent place for a quick bite.",positive
"Food was cold and tasteless.",negative
"Absolutely loved the ambiance and the pasta was divine!",positive
"Worst restaurant I've ever been to. Never coming back.",negative
"The staff were friendly and attentive throughout our meal.",positive
"Overpriced and underwhelming. Not worth the money.",negative
"Great spot for families. Kids menu was excellent.",positive
"Had to wait over an hour for our food. Unacceptable.",negative
"The desserts were to die for! Highly recommend the cheesecake.",positive
"Dirty tables and slow service. Very disappointed.",negative
"Cozy atmosphere and delicious appetizers.",positive
"The meat was overcooked and dry.",negative
"Best Italian food in town! Will definitely return.",positive
"Manager was unhelpful when we complained about our order.",negative
"Reasonably priced with generous portions.",positive
"Found a hair in my soup. Disgusting.",negative
"The wine selection was impressive and well curated.",positive
"Noisy environment made it hard to have a conversation.",negative
"Quick service and tasty sandwiches. Perfect for lunch.",positive
"Stale bread and watery soup. Very disappointing.",negative
"The chef came out to greet us. Such a nice touch!",positive
"Reservation was lost and we had to wait 30 minutes.",negative
"Fresh ingredients and beautifully presented dishes.",positive
"Bland flavors and small portions for the price.",negative
"Excellent vegetarian options available.",positive
"Rude hostess made us feel unwelcome from the start.",negative
"The seafood was incredibly fresh and flavorful.",positive
"Kitchen clearly doesn't care about quality control.",negative
"Good value for money. Would recommend to friends.",positive
"Cramped seating and uncomfortable chairs.",negative
"The brunch menu is fantastic! Loved the eggs benedict.",positive
"Coffee was cold and tasted burnt.",negative
"Impeccable service from start to finish.",positive
"Order was completely wrong and they refused to fix it.",negative
"Nice outdoor seating area with great views.",positive
"Flies buzzing around our table. Health hazard.",negative
"The curry had the perfect level of spice!",positive
"Waited 20 minutes just to get menus.",negative
"Clean restrooms and well-maintained facility.",positive
"Prices have gone up but quality has gone down.",negative
"Their signature dish did not disappoint!",positive
"Kitchen ran out of half the menu items.",negative
"Romantic setting perfect for date night.",positive
"Food arrived lukewarm at best.",negative
"The bartender made amazing cocktails.",positive
"Clearly understaffed. Service was chaotic.",negative
"Kids ate everything on their plates. That says it all!",positive
"Felt rushed throughout the entire meal.",negative
"Generous happy hour deals and friendly bar staff.",positive
"The salad had wilted, brown lettuce.",negative
"Outstanding presentation and exceptional taste.",positive
"The fish smelled off. Sent it back immediately.",negative
"Warm welcome from the hostess. Great first impression!",positive
"Bill had wrong items. Took forever to correct.",negative
"The steak was cooked to perfection!",positive
"Way too salty. Could barely eat it.",negative
"Live music added to the wonderful atmosphere.",positive
"Parking was a nightmare. Too stressful.",negative
"The lobster bisque was heavenly.",positive
"Server forgot our order twice.",negative
"Great gluten-free options for my dietary needs.",positive
"Moldy cheese on the pizza. Absolutely gross.",negative
"The sushi was fresh and expertly prepared.",positive
"Charged us for items we never received.",negative
"Lovely decor and comfortable seating.",positive
"Roaches crawling on the wall. Left immediately.",negative
"Best burger I've had in years!",positive
"Ice in the drinks tasted like dirty freezer.",negative
"The tapas were perfect for sharing.",positive
"Bathroom was out of order. Very inconvenient.",negative
"Sommelier gave excellent wine recommendations.",positive
"Utensils were dirty and had food residue.",negative
"The jazz brunch is a must-try experience!",positive
"Air conditioning broken on a hot day. Miserable.",negative
"Vegan options were creative and delicious.",positive
"Chicken was raw in the middle. Dangerous.",negative
"Staff remembered us from our last visit. Impressive!",positive
"They added automatic gratuity without warning.",negative
"The tiramisu was authentic and delicious.",positive
"Table was sticky and hadn't been cleaned.",negative
"Great beer selection on tap.",positive
"Music was ear-splittingly loud.",negative
"The dim sum service was efficient and tasty.",positive
"Shrimp tasted spoiled. Got food poisoning.",negative
"Perfect spot for business lunches.",positive
"Server had visible attitude problem.",negative
"The pad thai had amazing depth of flavor.",positive
"Portion sizes were laughably small.",negative
"Beautiful waterfront location at sunset.",positive
"Took our plates before everyone was done eating.",negative
"The BBQ ribs fell off the bone perfectly.",positive
"Flies everywhere. Completely unhygienic.",negative
"Impressive craft cocktail menu.",positive
"Waited 45 minutes past our reservation time.",negative
"The fondue experience was fun and interactive.",positive
"Everything tasted like it came from frozen packages.",negative
"Knowledgeable staff about allergens and ingredients.",positive
"Server spilled wine on my jacket. No apology.",negative
"The prime rib special was worth every penny.",positive
"Credit card machine conveniently broken. Cash only scam.",negative
"Delightful afternoon tea service.",positive
"Found plastic wrap baked into the bread.",negative
"The Greek salad was fresh and authentic.",positive
"Manager was defensive when we complained.",negative
"Amazing Sunday roast with all the trimmings.",positive
"Menu prices didn't match what we were charged.",negative
"The oysters were briny and delicious.",positive
"Kitchen smoke set off fire alarm. Total chaos.",negative
"Great selection of local craft beers.",positive
"Server was texting while taking our order.",negative
"The creme brulee had the perfect caramelized top.",positive
"Bathroom had no soap or paper towels.",negative
"Fantastic farm-to-table concept executed well.",positive
"Clearly reheated leftovers. Not fresh.",negative
"The pho had rich, complex broth.",positive
"Hostess seated us right next to the kitchen door.",negative
"Taco Tuesday deals are incredible value.",positive
"Menu looked nothing like the photos.",negative
"The focaccia bread was warm and aromatic.",positive
"Server brought wrong drinks three times.",negative
"Best poutine outside of Canada!",positive
"Bacon was burnt to a crisp.",negative
"The omakase experience was unforgettable.",positive
"They forgot we were there for 30 minutes.",negative
"Wonderful kids play area kept children entertained.",positive
"Mandatory valet parking was overpriced.",negative
"The ramen had perfect noodle texture.",positive
"Fruit flies hovering over the fruit display.",negative
"Staff went above and beyond for my birthday.",positive
"Loud argument between staff in front of customers.",negative
"The Spanish paella was authentic and flavorful.",positive
"Clearly days old fish. Smelled terrible.",negative
"Excellent wine pairing with each course.",positive
"Server rolled eyes when we asked questions.",negative
"The chocolate lava cake was orgasmic.",positive
"Plates were chipped and glasses were cloudy.",negative
"Perfect place for watching the game.",positive
"They ran our credit card wrong. Multiple charges.",negative
"The pork belly bao buns were incredible.",positive
"Salad bar looked picked over and sad.",negative
"Attentive service without being intrusive.",positive
"Forced to tip on top of service charge.",negative
"The French onion soup was rich and cheesy.",positive
"Coffee pot obviously hadn't been cleaned in days.",negative
"Great outdoor patio for summer dining.",positive
"Advertised items not actually available.",negative
"The duck confit was tender and flavorful.",positive
"Server had bad body odor. Off-putting.",negative
"Impressive dessert cart with many options.",positive
"Bait and switch with happy hour specials.",negative
"The gnocchi melted in my mouth.",positive
"Manager yelled at employees in dining area.",negative
"Cozy fireplace created perfect winter ambiance.",positive
"Tonic water was flat in my gin and tonic.",negative
"Best huevos rancheros for weekend brunch.",positive
"AC vents dripping condensation on our table.",negative
